Index,Character Count (including spaces),Word Count
1265,147,25
1266,216,38
1267,18,4
1268,42,7
1269,83,16
1270,17,4
1271,147,22
1272,31,7
1273,33,6
1274,37,8
1275,94,18
1276,76,12
1277,47,9
1278,156,28
1279,50,10
1280,202,37
1281,66,13
1282,206,38
1283,78,13
1284,37,7
1285,19,3
1286,30,5
1287,20,3
1288,72,13
1289,22,4
1290,55,11
1291,20,4
1292,27,3
1293,243,47
1294,206,37
1295,114,13
1296,64,11
1297,34,6
1298,31,6
1299,32,5
1300,11,2
1301,100,16
1302,53,11
1303,41,6
1304,50,10
1305,571,102
1306,41,7
1307,102,18
1308,411,71
1309,202,36
1310,1070,178
1311,36,6
1312,682,112
1313,165,32
1314,271,42
1315,34,4
1316,34,6
1317,36,5
1318,20,3
1319,45,9
1320,178,25
1321,72,13
1322,65,9
1323,31,5
1324,17,3
1325,187,31
1326,77,11
1327,261,41
1328,65,13
1329,23,5
1330,53,9
1331,54,10
1332,33,8
1333,14,3
1334,92,19
1335,98,17
1336,14,3
1337,10,2
1338,84,17
1339,27,7
1340,92,17
1341,37,7
1342,28,6
1343,70,13
1344,34,6
1345,25,4
1346,25,6
1347,56,12
1348,26,4
1349,40,8
1350,7,2
1351,124,21
1352,623,107
1353,58,7
1354,531,89
1355,108,22
1356,163,27
1357,31,6
1358,22,4
1359,39,6
1360,40,7
1361,63,8
1362,258,43
1363,43,8
1364,56,7
1365,19,3
1366,86,14
1367,31,5
1368,27,4
1369,206,31
1370,38,8
1371,43,8
1372,195,32
1373,44,9
1374,41,8
1375,19,4
1376,154,29
1377,17,4
1378,52,9
1379,237,42
1380,724,118
1381,887,144
1382,385,68
1383,157,29
1384,366,58
1385,202,32
1386,84,12
1387,108,17
1388,27,4
1389,37,7
1390,137,26
1391,182,29
1392,195,32
1393,1102,187
1394,203,30
1395,9,2
1396,14,2
1397,39,7
1398,129,22
1399,57,11
1400,14,2
1401,34,6
1402,40,8
1403,26,4
1404,60,13
1405,29,5
1406,130,22
1407,80,11
1408,52,10
1409,238,43
1410,184,31
1411,93,13
1412,24,4
1413,18,4
1414,121,20
1415,487,79
1416,427,72
1417,16,3
1418,17,4
1419,21,5
1420,133,20
1421,135,21
1422,36,6
1423,72,13
1424,29,5
1425,42,7
1426,1507,256
1427,74,11
1428,36,6
1429,44,6
1430,35,7
1431,54,11
1432,111,16
1433,32,5
1434,75,13
1435,165,29
1436,55,9
1437,39,7
1438,1279,210
1439,36,6
1440,31,5
1441,180,29
1442,54,7
1443,27,1
1444,31,4
1445,48,8
1446,73,13
1447,51,9
1448,355,59
1449,20,4
1450,19,4
1451,142,25
1452,256,46
1453,85,13
1454,230,40
1455,349,57
1456,38,8
1457,56,10
1458,311,51
1459,43,5
1460,292,47
1461,596,98
1462,41,6
1463,46,7
1464,12,2
1465,109,17
1466,6,1
1467,271,46
1468,211,36
1469,166,32
1470,28,5
1471,129,22
1472,451,79
1473,45,8
1474,38,7
1475,65,10
1476,86,15
1477,70,12
1478,169,28
1479,132,20
1480,216,36
1481,658,110
1482,107,17
1483,32,6
1484,53,9
1485,545,88
1486,16,2
1487,45,8
1488,72,11
1489,306,51
1490,378,61
1491,74,12
1492,153,31
1493,466,80
1494,285,53
1495,143,24
1496,185,32
1497,508,87
1498,14,3
1499,22,3
1500,33,6
1501,661,113
1502,42,7
1503,271,46
1504,60,12
1505,10,2
1506,233,41
1507,384,68
1508,40,7
1509,375,66
1510,82,10
1511,38,8
1512,30,4
1513,30,4
1514,30,6
1515,182,29
1516,95,16
1517,211,39
1518,145,26
1519,246,44
1520,92,16
1521,101,17
1522,146,26
1523,33,5
1524,43,9
1525,58,12
1526,830,141
1527,16,3
1528,167,28
1529,45,7
1530,252,49
1531,132,23
1532,24,3
1533,104,15
1534,147,24
1535,488,80
1536,168,31
1537,70,11
1538,13,3
1539,133,21
1540,32,7
1541,24,3
1542,153,25
1543,25,4
1544,15,3
1545,110,20
1546,61,8
1547,82,18
1548,98,14
1549,45,10
1550,121,22
1551,59,10
1552,161,26
1553,52,9
1554,108,20
1555,18,4
1556,49,10
1557,452,82
1558,36,7
1559,98,17
1560,10,2
1561,31,7
1562,27,4
1563,124,25
1564,161,30
1565,29,5
1566,57,11
1567,67,11
1568,37,6
1569,66,12
1570,282,47
1571,8,1
1572,420,77
1573,296,56
1574,8,2
1575,169,29
1576,88,18
1577,37,7
1578,36,6
1579,132,23
1580,470,74
1581,96,18
1582,53,10
1583,44,8
1584,476,84
1585,629,110
1586,286,49
1587,274,45
1588,63,13
1589,83,16
1590,144,26
1591,703,125
1592,42,10
1593,176,35
1594,76,14
1595,88,14
1596,200,29
1597,106,21
1598,8,2
1599,100,16
1600,66,13
1601,15,3
1602,18,2
1603,65,11
1604,48,7
1605,36,7
1606,216,34
1607,17,4
1608,20,3
1609,14,2
1610,151,25
1611,16,3
1612,37,6
1613,140,23
1614,54,9
1615,78,16
1616,41,7
1617,66,9
1618,41,8
1619,23,4
1620,9,2
1621,30,6
1622,32,6
1623,21,4
1624,4,1
1625,20,3
1626,29,5
1627,107,18
1628,37,7
1629,25,5
1630,62,13
1631,21,4
1632,24,6
1633,80,18
1634,39,7
1635,102,15
1636,20,5
1637,44,6
1638,218,36
1639,85,15
1640,40,9
1641,17,4
1642,31,5
1643,65,12
1644,73,14
1645,161,24
1646,22,3
1647,24,4
1648,32,4
1649,65,13
1650,97,18
1651,105,20
1652,14,2
1653,11,3
1654,53,9
1655,113,18
1656,44,10
1657,99,18
1658,35,7
1659,51,11
1660,86,18
1661,4,1
1662,26,4
1663,518,82
1664,25,5
1665,120,23
1666,222,41
1667,135,24
1668,52,8
1669,57,11
1670,199,34
1671,101,18
1672,103,17
1673,32,7
1674,58,10
1675,44,10
1676,56,10
1677,94,14
1678,492,95
1679,244,45
1680,21,4
1681,12,2
1682,12,3
1683,12,2
1684,89,15
1685,12,3
1686,54,10
1687,56,11
1688,158,28
1689,27,5
1690,99,19
1691,28,5
1692,26,5
1693,328,56
1694,93,16
1695,118,19
1696,121,23
1697,17,3
1698,21,5
1699,109,21
1700,10,2
1701,51,9
1702,11,2
1703,280,50
1704,22,5
1705,101,17
1706,180,36
1707,61,12
1708,43,7
1709,24,5
1710,94,16
1711,418,72
1712,163,29
1713,43,7
1714,25,5
1715,26,4
1716,73,15
1717,80,13
1718,183,28
1719,443,79
1720,77,14
1721,89,17
1722,41,6
1723,110,20
1724,47,9
1725,8,2
1726,17,3
1727,34,5
1728,87,15
1729,74,10
1730,108,19
1731,91,18
1732,68,14
1733,125,26
1734,91,16
1735,18,5
1736,133,24
1737,177,32
1738,38,7
1739,43,9
1740,57,10
1741,87,16
1742,52,10
1743,67,14
1744,54,11
1745,70,12
1746,146,29
1747,80,16
1748,127,22
1749,123,21
1750,22,5
1751,430,78
1752,32,8
1753,31,7
1754,84,15
1755,60,10
1756,29,5
1757,27,5
1758,163,27
1759,85,13
1760,61,11
1761,40,8
1762,39,7
1763,29,6
1764,9,1
1765,165,25
1766,10,1
1767,80,14
1768,77,14
1769,53,11
1770,106,22
1771,109,21
1772,43,8
1773,33,7
1774,39,6
1775,19,3
1776,28,4
1777,43,8
1778,38,6
1779,123,19
1780,4,1
1781,18,2
1782,20,4
1783,17,3
1784,52,9
1785,33,6
1786,60,10
1787,251,43
1788,458,76
1789,257,39
1790,140,22
1791,70,10
1792,40,6
1793,85,16
1794,222,31
1795,46,9
1796,51,9
1797,74,13
1798,178,32
1799,114,18
1800,116,20
1801,35,6
1802,64,13
1803,56,9
1804,21,4
1805,63,10
1806,150,28
1807,62,13
1808,60,9
1809,92,19
1810,8,1
1811,17,2
1812,12,2
1813,18,2
1814,309,53
1815,52,11
1816,87,15
1817,78,14
1818,133,25
1819,62,13
1820,40,6
1821,155,25
1822,24,5
1823,227,42
1824,41,6
1825,306,58
1826,190,35
1827,4,1
1828,43,6
1829,140,25
1830,427,80
1831,35,5
1832,18,3
1833,58,11
1834,154,26
1835,30,7
1836,29,6
1837,4,1
1838,17,3
1839,38,7
1840,20,4
1841,17,4
1842,43,9
1843,35,6
1844,97,18
1845,171,31
1846,18,4
1847,74,14
1848,122,18
1849,34,7
1850,387,66
1851,73,14
1852,22,4
1853,23,4
1854,70,13
1855,40,8
1856,168,30
1857,48,9
1858,51,10
1859,26,6
1860,49,9
1861,84,14
1862,301,47
1863,30,4
1864,24,4
1865,108,15
1866,127,23
1867,249,37
1868,72,11
1869,81,12
1870,233,46
1871,29,6
1872,38,7
1873,107,20
1874,357,66
1875,33,7
1876,76,13
1877,17,3
1878,20,3
1879,32,6
1880,100,17
1881,89,17
1882,23,5
1883,96,15
1884,71,13
1885,151,26
1886,271,48
1887,44,7
1888,43,7
1889,191,32
1890,138,24
1891,39,7
1892,31,6
1893,121,18
1894,43,7
1895,26,5
1896,24,6
1897,33,7
1898,71,12
1899,101,18
1900,122,20
1901,71,13
1902,17,3
1903,62,11
1904,153,26
1905,220,38
1906,26,5
1907,136,27
1908,164,32
1909,110,18
1910,164,32
1911,29,5
1912,35,7
1913,25,4
1914,24,5
1915,94,17
1916,30,5
1917,19,4
1918,50,12
1919,90,14
1920,80,15
1921,193,33
1922,49,8
1923,56,9
1924,75,14
1925,53,8
1926,18,3
1927,247,46
1928,107,18
1929,13,3
1930,4,1
1931,23,3
1932,19,3
1933,43,8
1934,574,97
1935,75,13
1936,61,12
1937,475,81
1938,35,6
1939,371,66
1940,19,3
